,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
OGDH,5.318876380712314,5.67728452140503,5.389012474308761,5.452274153929025,5.281278910886139,4.85812972771352,5.362448760520651,5.222587809800466
OGFOD1,4.29301547151967,4.665924068050591,4.287679048917372,4.4991038689610665,4.506426453285838,3.7749280689000515,4.909371157918496,4.481348139304215
OGFR,4.3208067303090365,5.288719180921599,4.441564824919218,4.46603405918181,4.538860153543514,4.352467413075279,4.343849415655371,4.129512102275625
OGFRL1,4.412410249569193,4.665924068050591,4.399959770209332,4.452493723713863,4.630290183663318,4.104824808363076,4.687033255016813,4.614837932253651
OGG1,4.496322212745945,4.697049174038301,4.251380072062564,4.7147912638021925,4.081569393648169,4.636925542854416,4.486680939787932,4.031120971716856
OGT,6.206566648601779,6.11432415786373,6.296201812670995,6.188726457286376,6.3637124721845195,6.255080611254398,6.169298724963768,6.355401270643414
OLA1,6.381595207980622,6.582258582556733,6.437247674456074,6.465022750993232,6.379031803569952,6.392455015204911,6.52617055537949,6.696425512379857
OLFM1,4.655438130822617,4.987554336744687,4.943565480848994,4.996281078085497,5.375435636068004,5.192380930243531,5.104911754198155,5.2535132805637135
OLFM2,6.484339652444085,6.48117780624662,6.465912473466024,6.8033908857701615,6.574080350265311,6.632238678093584,6.450842528571972,6.382023797261569
OLFM3,3.901332048149361,4.002808315436779,4.06202519735453,4.543637916692729,4.383830570149221,4.352467413075279,4.211128441711213,4.175300453603226
OLIG1,6.420952198688927,7.048440528817748,6.335290294305101,6.320197825258446,7.245446307459821,6.095782834270006,7.074612843883952,7.016829429971265
OLIG2,6.112912105366235,5.982168772312132,5.9668196968322516,6.174210818197521,6.624886768069444,5.442459315819132,6.257215286481818,6.308803386687455
OMA1,3.5263515011877384,4.042899471961829,3.5477791165626122,3.633943716586939,3.5220102277462355,0.0,3.699056589426037,4.175300453603226
OMG,5.727754185368887,5.589189911037632,5.435324901097363,5.899726163361553,6.11031527128991,4.550794454251385,6.097252795052474,5.825314507692571
ONECUT1,4.721832278655986,5.454996314300934,4.979898758914208,4.290025815737457,4.58561973614661,3.557502822022471,4.486680939787932,4.830203001039864
OPA1,6.082780248148139,6.244168021672448,6.09168133814956,6.052568353000829,6.149323087356689,6.287280497927233,6.071603005320108,6.216321260011529
OPA3,3.2484256912878147,4.415792213222228,3.5963842328609363,3.9606141554833005,3.565176817299899,2.8924667266221964,3.6563614217567677,3.3723624595821806
OPCML,10.04049867215921,10.008674568244201,9.996098724464249,10.111553145644695,10.012021469689083,9.957538661600333,10.082027542622262,9.708357662159282
OPHN1,8.55888950035512,8.05656396033129,8.34486051443081,8.361274440648328,8.631205463623854,8.357127072770623,8.359796976010326,8.381772949239863
OPTN,4.20468346128389,4.042899471961829,4.356548307351848,4.265675758755693,4.420418012641663,3.557502822022471,4.123947215893691,4.364978871860107
ORAI2,3.6675509926604595,4.727234679410449,3.8651725642064307,3.750508450708927,3.75682216660317,4.104824808363076,4.077330130831702,3.9780396207942093
ORC2,5.515433586081877,5.902807063837522,5.552623395128937,5.707643971052117,5.913078536964718,5.834094045488406,5.707351544592217,5.810885504415095
ORC3,5.519574898239965,5.80317206452992,5.699003029740551,5.579291836093412,5.6976469974439805,5.325217236847198,5.4957239543724015,5.653838589819752
ORC4,5.847783356939035,6.001755680529406,6.005941852143792,5.880298931813902,5.9090327274695085,5.61168174498232,5.947266814719468,6.061534205146453
ORC5,4.898063754213982,5.294356397022411,5.280643595451771,5.160158897731141,5.080050539560067,4.982378924561273,5.030482202728944,5.179807467128895
ORMDL1,4.792677339865058,5.80317206452992,5.020683636713769,5.439654386860792,5.429259201247194,3.7749280689000515,5.527561014553788,5.395239249309994
OS9,4.703308034538632,5.162344021668983,4.818941617033591,4.9308740102015225,4.615620638463367,4.636925542854416,4.795099860738495,4.749533819190967
OSBP,4.605160982090269,4.979885175525413,4.839681212113318,4.93508970658953,4.753447414395377,4.789691344824355,4.7810333640953715,4.6709115149358595
OSBP2,5.9576076004667256,6.199705682979357,5.735975183295943,5.798580425250019,5.824476410766737,6.363516716563857,5.927957646795874,5.725993863050069
OSBPL10,4.037544595011248,4.222292323793622,5.0653448720174845,4.486006883970917,3.75682216660317,5.1438686652583545,4.644648695702148,4.524351512059053
OSBPL11,4.684434155899373,5.155908702944182,4.811931720010309,4.785631985918388,4.700573756132482,4.789691344824355,4.917643316641567,4.974305387739026
OSBPL1A,6.731456208642185,6.2310356552462896,6.699988081739275,6.602678202355813,6.569902097349258,6.861830644383526,6.52617055537949,6.591601776108081
OSBPL2,4.412410249569193,4.56627645717072,4.461735739061476,4.638546904708963,3.975283202048539,4.236292459436568,4.492999028642569,4.24724256765714
OSBPL3,4.80119022436331,5.294356397022411,4.7761256462539885,4.922388923582494,5.395960451425197,4.352467413075279,5.49803195181005,5.467448160307839
OSBPL5,4.890339901256413,4.8997738161082856,5.193294400828568,4.842597944313763,4.753447414395377,5.478672347172945,4.831670978950429,4.697811658334032
OSBPL6,6.3532732124291655,6.319534346361425,6.4275071935695545,6.49817369823744,6.646449058051605,5.906210541603354,6.416474146353851,6.704783467666928
OSBPL7,3.463771862193952,4.154346403279455,3.883140551967683,3.9032649660372774,3.6845093398969757,3.2792791872746943,3.6850264378469806,3.6844664592072047
OSBPL8,6.3204217270196414,6.29710241653215,6.260492777051131,6.341038228029511,6.1868662479860195,5.882744863142483,6.300504034536837,6.57684691014022
OSBPL9,6.253278520891842,6.3629428263500465,6.168837121159111,6.215972578232636,6.086837626074614,6.748627590644636,6.204033433928331,6.417509657843135
OSER1,3.5562314887945283,3.6654602743503766,3.918136055259015,3.55352629344058,3.646292502368996,2.8924667266221964,3.8416441573123232,3.4974069152771907
OSGEP,4.748990714230166,5.206267692076456,4.783390161890452,5.189941805380264,4.778871544712641,4.716222785392043,5.164576291308805,4.749533819190967
OSGEPL1,3.5562314887945283,4.37434580760731,3.883140551967683,4.046036653358619,3.5220102277462355,2.2532766151707015,4.219442683898029,3.8827844891807977
OSMR,4.8427003940313655,5.6057951755843325,5.569254078391087,4.452493723713863,4.365022297762743,6.333715973132538,4.808971232603126,4.6889251039208615
