,H20.33.020,H20.33.044,H21.33.003,H21.33.004,H21.33.005,H21.33.009,H21.33.023,H21.33.044
NCOA7,5.970849344586887,5.6347355576896305,5.388053482081579,5.756822525495354,5.8186166918365805,5.276601113741748,5.516146101374472,5.6279570630416
NCOR1,6.466930962343371,6.4562936595121565,6.509135804872485,6.469993171720393,6.450331594411917,6.358094509198611,6.508330235418822,6.596887550883629
NCOR2,6.327942493646515,6.590718315712056,6.559803187040225,6.332750463542434,6.39502281086776,6.713174977356046,6.525512370816273,6.466908526386258
NCS1,2.812814252657347,3.494190988606862,3.454989102538114,3.856844110169076,3.691385093439101,4.054234786091555,2.7850272757115664,3.310172453292687
NCSTN,3.7952849587333324,3.9580555308577527,4.024867011620069,3.8357972471046486,3.7223541930258848,3.4369039674182322,3.6285839180151878,3.703392942102248
NDC1,4.496710003030765,4.940201682592857,4.520882303414087,4.367546658650785,4.6363338540319665,4.054234786091555,4.676577111265172,4.234173309384523
NDE1,4.477130262999204,4.254182195128085,4.520882303414087,4.9199155883320635,4.533405841814686,4.069472033146797,4.7093351364775495,4.558020486814098
NDEL1,4.7864508788331275,5.070351101228848,4.996852044115974,4.934200038246342,4.624032491307807,5.516667620197989,4.837698440173297,4.750951728132067
NDFIP1,5.771731166037462,5.619751794339631,5.779004331362179,5.6791172598409,5.784300530309279,5.7970937471474855,5.766166556984955,6.112923957565529
NDFIP2,3.320508753527906,3.9035765255422716,3.904592300270075,4.112708008185141,3.988514851793725,3.018977837094859,3.7823329216268284,3.7280945657058044
NDRG1,3.9846966101819357,3.144486303081057,4.0976980402612595,3.077049095675346,3.6264120650088105,4.4641430424255,3.5287963281985943,4.204313761596236
NDRG2,3.7821656287694827,3.8751820376348554,3.861055989800849,4.096451392422438,4.306164184152767,3.3782875847685756,4.20716473335029,4.396724832204919
NDRG3,4.781601784917163,4.706379015293906,5.237075663866485,4.912696110408356,5.241397463469181,4.33370758538267,4.748828999996933,4.882303681034855
NDRG4,3.381472891499572,3.613282542366853,3.838555788205726,4.010950836276516,4.056271812567621,3.5188500479372373,3.7193112168703006,3.272411069878091
NDST1,4.343339436281574,4.292856424268028,4.737226345438513,4.112708008185141,3.9158310349991146,4.62391195307637,4.355367307355818,4.345421817113019
NDST2,3.7821656287694827,3.984221014259883,3.7431225433028694,4.12870456837969,3.964869081301079,4.0387617682079515,4.20716473335029,3.6780656609139806
NDST3,2.812814252657347,3.8158534855662376,3.421025277172435,4.303020445723304,3.691385093439101,2.7186775039406528,3.9332255125085105,2.411434273132341
NDUFA10,5.283198888362708,5.5024218486321255,5.497779548926346,5.734775414166809,5.3122610227480935,5.146378339046238,5.352432554447996,5.218808388226241
NDUFA11,3.768871891343113,3.9035765255422716,3.665051228290571,3.649275743472809,3.6594261732352074,3.5699729592674987,3.5799343024124277,3.703392942102248
NDUFA12,3.4009954206795547,4.543241120101944,3.665051228290571,3.4515328248681127,3.6264120650088105,2.7186775039406528,4.123920176254274,3.9266103813277122
NDUFA13,4.289156889361977,4.6809712959090275,4.181857739315174,3.992937125818974,4.289008995515395,3.9743583000056955,4.152445293149592,4.371402288504673
NDUFA3,3.8082343983212072,3.9580555308577527,3.311610392483849,3.387025065452811,3.4822408599241155,3.5945866040108987,3.4749016566098367,3.6254014445185723
NDUFA4,3.381472891499572,4.273706260047568,3.421025277172435,3.897653797842519,3.6594261732352074,3.2146845767050216,3.7193112168703006,3.9658424613674073
NDUFA5,3.9954235071704236,4.172035015504244,3.925669707876286,4.1444492623433,3.8374472825177848,3.9743583000056955,4.220389220356253,4.157783085025959
NDUFA9,4.231869566408193,4.6006288251685685,4.587613804953112,4.518093709101029,4.235703623612609,3.347638469048283,4.659786699762744,4.092169901272795
NDUFAF2,5.563699067699721,5.868019379180678,5.572831662100986,5.337263526325412,5.221166530614856,5.807785322077874,5.561829236034394,5.337820787697469
NDUFAF5,4.761966794792049,4.96955211879101,4.883476986595756,4.721663407471355,4.762513638412956,3.7517547781136593,4.616534247028631,4.305139928284316
NDUFAF6,5.1744719824393375,5.274628069157877,5.025033655084791,5.60216019766942,5.429496045435957,4.738669749960157,5.508928938359584,5.13875891593753
NDUFAF7,4.106396973764437,4.082530811932384,3.6376115941766223,4.1752139279641485,4.140015278608155,3.8875433310955776,3.8975828060148636,3.946418803523306
NDUFAF8,3.2098363823944,4.105669029384402,3.717770021911336,3.8774571183872606,3.6264120650088105,3.3782875847685756,3.9332255125085105,3.5109426775220896
NDUFB1,4.077332059504071,4.2139518881375615,4.149038816082569,3.8357972471046486,4.119727657402908,3.6186089423186414,4.109346568142998,4.204313761596236
NDUFB2,3.906202543239821,4.417527463604953,4.274308085854821,4.063123179453031,4.217284465140364,3.6186089423186414,4.41117389931549,4.277354662574847
